Kelas',Contrast red cytoplasm',Contrast green cytoplasm',Contrast blue cytoplasm',Intensity red cytoplasm',Intensity green cytoplasm',Intensity blue cytoplasm',Entropy red cytoplasm',Entropy green cytoplasm',Entropy blue cytoplasm',Smoothness red cytoplasm',Smoothness green cytoplasm',Smoothness blue cytoplasm',Uniform red cytoplasm',Uniform green cytoplasm',Uniform blue cytoplasm',Third moment red cytoplasm',Third moment green cytoplasm',Third moment blue cytoplasm',Area cytoplasm',Mayor axis length cytoplasm',Minor axis length cytoplasm',Ecentricity cytoplasm',Orientation cytoplasm',Equivalent diameter cytoplasm',Solidity cytoplasm',Extent cytoplasm',Perimeter cytoplasm',EulerNumber cytoplasm',Circularity cytoplasm',ConvexArea cytoplasm',Contrast red nukleus',Contrast green nukleus',Contrast blue nukleus',Intensity red nukleus',Intensity green nukleus',Intensity blue nukleus',Entropy red nukleus',Entropy green nukleus',Entropy blue nukleus',Smoothness red nukleus',Smoothness green nukleus',Smoothness blue nukleus',Uniform red nukleus',Uniform green nukleus',Uniform blue nukleus',Third moment red nukleus',Third moment green nukleus',Third moment blue nukleus',Area nukleus',Mayor axis length nukleus',Minor axis length nukleus',Ecentricity nukleus',Orientation nukleus',Equivalent diameter nukleus',Solidity nukleus',Extent nukleus',Perimeter nukleus',EulerNumber nukleus',Circularity nukleus',ConvexArea nukleus'
Data Koilocyt(Sudah Dipisah),94,94,98,214.3338469,204.1525424,197.9583975,5.950054902,6.110249161,5.718268146,0.994211692,0.992461839,0.995833575,0,0,0,-1.43466742,-0.962968658,-2.415755259,1935,68.11677108,38.06171614,0.8293216,89.65587091,49.63585921,0.993836672,0.993836672,176.036,-1,0.784671448,1947,86,86,89,159.3333333,151.4166667,141.5833333,3.584962501,3.418295834,3.584962501,0.94118145,0.940933519,0.93563609,2671,2544,2320,-0.11993621,-0.110582637,-0.129623198,7,4.811221887,2.508848506,0.853277158,62.7688389,2.985410661,0.875,0.583333333,8.419,1,1.241043159,8
Data Koilocyt(Sudah Dipisah),81,83,67,210.6489011,195.9741758,206.7510989,6.042391274,6.340049983,5.621526058,0.993149974,0.992228155,0.996842057,0,0,0,-1.63573418,-1.011479753,-1.380704634,1809,59.91720009,40.5102129,0.736806904,89.75240584,47.9926071,0.993956044,0.993956044,166.236,-3,0.822618118,1820,76,77,66,148.1666667,141,169.75,3.584962501,3.584962501,3.584962501,0.972112238,0.971364589,0.978684845,3060,3060,3060,0.896843091,0.899414517,0.825282464,2,2.309401077,1.154700538,0.866025404,0,1.595769122,1,1,1.96,1,6.542258754,2
Data Koilocyt(Sudah Dipisah),104,113,98,202.9148936,187.6050191,199.0114566,6.612757733,6.751511518,6.424988589,0.982112743,0.975281661,0.988743508,0,0,0,-0.146880433,0.023340158,-0.099591555,1814,54.29822478,44.91909542,0.561809887,1.735176475,48.05888611,0.989634479,0.989634479,164.276,-2,0.844693024,1833,78,85,74,159.7222222,139.5555556,165.3333333,3.947702779,3.947702779,3.794653474,0.965753304,0.960167546,0.967656799,4531,3998,4560,0.562861362,0.715295176,0.496482367,7,7.351929203,1.679251408,0.97356512,-5.511727982,2.985410661,0.777777778,0.583333333,10.933,1,0.735917631,9
Data L-SIL(Sudah Dipisah),103,128,82,197.7298701,154.0255411,204.5454545,6.735167835,7.163200489,6.611770845,0.973051541,0.945094628,0.982835485,0,0,0,-0.825444596,0.018101726,-0.517297317,1913,66.49823782,48.79125735,0.679449191,-3.916365857,49.35288491,0.828138528,0.828138528,312.362,-35,0.246381698,2310,94,92,74,128.7393939,70.41212121,160.0181818,6.390365739,6.310740455,6.299689808,0.960724381,0.962620631,0.978342814,40737,21839,42075,0.49171747,0.643609112,0.539380241,5,4.163331999,2.411085509,0.815239465,45,2.523132522,0.833333333,0.555555556,7.013,1,1.277533186,6
Data L-SIL(Sudah Dipisah),108,128,93,212.6208577,192.7007797,206.6933073,6.403962621,6.938809108,6.318381109,0.985174669,0.965525235,0.989837226,0,0,0,-1.554708163,-0.846313652,-0.938185509,2924,66.77353431,63.74072284,0.297952697,86.81771428,61.01600142,0.949967511,0.949967511,213.276,-10,0.807798902,3078,105,113,91,140,101.7466667,160.3066667,6.287096151,6.26352544,6.352431278,0.960696683,0.948570681,0.975712745,37947,32913,38250,0.392325902,0.493477262,0.309029279,4,3.651483717,1.825741858,0.866025404,71.56505118,2.256758334,0.8,0.666666667,5.053,1,1.968662455,5
Data L-SIL(Sudah Dipisah),128,128,117,212.5977273,202.1143939,210.3189394,6.186184755,6.498110018,6.360587405,0.952837238,0.939891549,0.976421002,0,0,0,-1.489331865,-1.332861931,-1.581008544,1126,48.28398634,39.8194733,0.565580402,-3.853079012,37.86380498,0.853030303,0.853030303,139.466,-12,0.727464097,1320,110,123,86,133.6041667,109.53125,161.9270833,6.173402344,6.160432423,6.032675521,0.94388165,0.937399149,0.971361209,24480,23967,24480,0.373276819,0.599419163,0.309817089,2,2.309401077,1.154700538,0.866025404,90,1.595769122,1,1,1.96,1,6.542258754,2
Data L-SIL(Sudah Dipisah),128,128,110,207.2385714,194.5414286,193.4828571,6.618774021,6.702481256,6.650888153,0.978054878,0.976004429,0.988077618,0,0,0,-2.540707311,-2.388640526,-1.015982918,1331,44.97201841,39.39400485,0.482371002,-89.88435242,41.1665135,0.953438395,0.950714286,174.929,1,0.546593286,1396,101,102,71,121.8703704,92.38888889,141.1481481,5.643776391,5.407574771,5.393595372,0.957001716,0.960279809,0.982770679,8751,6198,11310,0.162579158,0.282067406,-0.205083449,9,5.202600028,3.029829456,0.812925049,41.82990413,3.385137501,0.9,0.5625,10.197,1,1.087696009,10
Data Normal Citra (Sudah Dipisah),125,125,105,202.9171429,193.8085714,197.6542857,6.169752927,6.395952808,6.074034208,0.968731482,0.96450542,0.983387092,0,0,0,-2.426749056,-2.265372044,-2.320221093,1288,47.46030356,39.81706333,0.544200656,-82.49234604,40.49608047,0.92,0.92,142.716,-2,0.794658251,1400,123,123,101,139.3303167,125.1809955,151.5475113,6.916669105,6.866238123,6.702261512,0.921959463,0.917642713,0.959765156,37399,34855,44062,-0.264361168,-0.213003248,-0.318289533,9,5.705190118,2.542272879,0.895228667,72.43290347,3.385137501,0.818181818,0.6,10.197,1,1.087696009,11
Data Normal Citra (Sudah Dipisah),115,124,79,208.6324786,192.9355089,199.1958042,6.181436613,6.496381709,6.060111083,0.982569497,0.976986774,0.990704785,0,0,0,-2.728574068,-2.496786616,-2.188164225,1211,45.67418767,38.56353225,0.53584266,89.79499261,39.26694652,0.940947941,0.940947941,139.028,-2,0.787316688,1287,114,123,74,151.4652778,125.4722222,159.9236111,6.5829158,6.684686786,6.405764585,0.94298739,0.93117447,0.973498548,4935,3762,5036,-0.257506111,-0.112793899,-0.171168652,28,7.79397869,5.318637963,0.730975737,63.20438728,5.970821321,0.823529412,0.666666667,19.931,1,0.885747055,34
Data Normal Citra (Sudah Dipisah),91,99,70,198.4024677,191.3155112,181.6063455,6.086095862,6.328610294,5.939193259,0.992231274,0.990065897,0.995168254,0,0,0,-1.962124086,-1.76809943,-1.2524012,1654,53.10749443,42.80816719,0.5918251,86.67209775,45.89050236,0.971797885,0.971797885,158.396,-2,0.828432158,1702,80,78,60,156.9365079,146.7936508,160.8095238,5.647837265,5.647837265,5.477124765,0.973703274,0.968897533,0.985336181,13951,12706,14889,0.104091063,0.231202912,0.144671816,9,4.764161672,3.343547034,0.71236196,-74.51812173,3.385137501,0.818181818,0.6,10.106,1,1.107372631,11
